J1 [rad],J2 [rad],J3 [rad],J4 [rad],J5 [rad],J6 [rad],,Electrical Power [W],,J1 [W], J2 [W],J3 [W],J4 [W],J5 [W],J6 [W]
-0.144241863,0.560873772,-0.481609994,-0.013832206,1.649414683,0.439960853,,615.8066839,,276.8340531,239.7653224,98.74210638,0.104255745,0.360946243,0
-0.159705481,0.556355115,-0.472827322,-0.013709544,1.653685504,0.488971443,,703.7847313,,338.6225932,257.9422344,106.716634,0.09146903,0.411800648,0
-0.176065324,0.551574658,-0.463535887,-0.013579726,1.658202416,0.540821685,,674.7974961,,307.6354851,257.0118417,109.4259445,0.109773619,0.614451165,0
-0.193197476,0.546569054,-0.453806375,-0.013443817,1.662932258,0.595118878,,701.916324,,322.7085927,263.9632528,114.378487,0.11184478,0.754146651,0
-0.211101064,0.541338302,-0.443639308,-0.013301835,1.66787503,0.651857786,,730.5208116,,339.482749,270.5791234,119.4376522,0.113332053,0.907954892,0
-0.229777832,0.535880658,-0.433031546,-0.013153656,1.673032478,0.711054119,,828.3455334,,411.5246862,287.8109321,127.896557,0.097839536,1.015518667,0
-0.2493517,0.530161214,-0.421914846,-0.012998357,1.678436018,0.773090102,,786.0161384,,371.9938601,282.4362753,130.1657207,0.117536702,1.302745589,0
-0.269697003,0.524216622,-0.410360417,-0.012836932,1.684054233,0.837571291,,811.6113506,,388.2818461,286.5230421,135.1731246,0.11896754,1.514370305,0
-0.290813741,0.518046883,-0.398368086,-0.012669432,1.689883632,0.904495941,,838.8180487,,406.5603949,290.1050345,140.2888798,0.119788307,1.743951131,0
-0.312703661,0.511650252,-0.385935407,-0.012495772,1.695927708,0.973876269,,946.6185898,,489.6830286,305.6494738,149.2609051,0.101506537,1.923675732,0
-0.335492425,0.50499182,-0.372993791,-0.012314973,1.702219619,1.046097994,,890.8586322,,442.1950304,295.0174718,151.2087661,0.122719909,2.314644041,0
-0.359050879,0.498108242,-0.359614097,-0.012128118,1.708724462,1.120763179,,914.8475467,,460.3492466,295.4379628,156.3241876,0.123621621,2.612527989,0
-0.383380769,0.490999516,-0.345796849,-0.011935102,1.715442234,1.197873571,,940.7765017,,480.9398361,295.1784621,161.6030469,0.123881299,2.931275272,0
-0.408485585,0.483663897,-0.331538905,-0.011735926,1.722374682,1.277437895,,1039.455583,,560.7922624,305.0875871,170.245952,0.107165634,3.222615769,0
-0.43446132,0.47607346,-0.316785986,-0.011529837,1.72954624,1.359765076,,902.1390163,,451.5387662,277.8696813,168.8154567,0.146265926,3.76884616,0
-0.46110028,0.468289292,-0.301656774,-0.011318565,1.736901057,1.444191888,,841.338128,,406.1456578,260.9758786,169.872259,0.165955931,4.178376635,0
-0.488306473,0.460341062,-0.28620677,-0.011102738,1.744412954,1.53041988,,775.1520363,,357.7739676,242.3519359,170.2880299,0.18641565,4.551687229,0
-0.515987395,0.452251461,-0.270484146,-0.01088307,1.75204877,1.6181506,,738.9529252,,334.8518223,227.4305385,171.6041672,0.198497555,4.867899615,0
-0.544092432,0.444039687,-0.25452311,-0.010660139,1.759815485,1.707226969,,600.5192626,,230.1041339,196.6790859,168.2627937,0.237322184,5.235926898,0
-0.572455777,0.435752864,-0.238415466,-0.010435114,1.767652013,1.797113171,,517.0948901,,171.0615636,173.8240697,166.4814798,0.260931976,5.466845046,0
-0.600979693,0.427417171,-0.22221532,-0.01020885,1.775523448,1.887521226,,431.7555957,,111.1358065,150.5787622,164.1085042,0.284844069,5.64767875,0
-0.629571677,0.419064025,-0.205978522,-0.009982027,1.783412336,1.978138721,,372.529734,,72.87404855,131.2314989,162.3761591,0.301032962,5.7469945,0
-0.658172388,0.410705644,-0.189732998,-0.009755151,1.791318678,2.068791122,,357.0192322,,70.44123366,118.3872022,162.1027789,0.304184459,5.783833019,0
-0.686774843,0.402349007,-0.173490964,-0.009528259,1.799207566,2.15942607,,348.5632953,,73.80125472,106.56501,162.0852325,0.305221941,5.806576111,0
-0.715375554,0.393992371,-0.157247184,-0.009301366,1.807113908,2.250078472,,339.9313762,,77.03367631,94.71500042,162.043096,0.306359667,5.833243796,0
-0.743976264,0.385635734,-0.14100515,-0.009074421,1.815002796,2.340730873,,331.3245895,,80.24808334,82.91084257,162.0026958,0.30739463,5.855573221,0
-0.772576975,0.377279098,-0.124761371,-0.008847528,1.822909137,2.431365821,,322.9587384,,83.75063907,71.08989631,161.9301166,0.308301821,5.87978455,0
