J1 [rad],J2 [rad],J3 [rad],J4 [rad],J5 [rad],J6 [rad],,Electrical Power [W],,J1 [W], J2 [W],J3 [W],J4 [W],J5 [W],J6 [W]
-0.878514049,0.293394587,0.28140382,-0.007487297,2.145569662,3.065897724,,244.3901829,,144.1456812,53.49610527,44.65628418,0.23850766,1.85360457,0
-0.909176907,0.288181925,0.29088458,-0.007236652,2.149843437,3.156532672,,222.5074319,,122.9648996,55.29941862,42.38021341,0.24497907,1.61792115,0
-0.939913158,0.283181052,0.299498134,-0.006986326,2.153460958,3.247185073,,199.4853647,,101.313073,56.20832466,40.32110364,0.252099921,1.39076344,0
-0.970688666,0.278378446,0.30728921,-0.006736639,2.156453466,3.337837475,,175.5908037,,79.34392353,56.35201869,38.46329896,0.259967216,1.171595309,0
-1.001469336,0.273757362,0.31431311,-0.006487909,2.158859558,3.428472423,,151.122365,,57.21946649,55.86133134,36.81211466,0.268678172,0.960774347,0
-1.032221182,0.269297691,0.320636146,-0.006240451,2.160725492,3.519124824,,126.409579,,35.10785005,54.86337284,35.40019427,0.27832872,0.759833091,0
-1.062910387,0.264975831,0.326336071,-0.005994579,2.162105478,3.609759772,,101.8122993,,13.18104446,53.47588576,34.29462233,0.289012,0.571734746,0
-1.093503371,0.26076455,0.331502514,-0.005750603,2.163061984,3.700412173,,94.49585509,,8.387727981,51.80139538,33.60481881,0.300816816,0.401096109,0
-1.123966855,0.256632855,0.336237408,-0.00550883,2.163666034,3.791064575,,113.4083841,,29.42769915,49.92125811,33.49122597,0.31382606,0.254374855,0
-1.154267924,0.252545855,0.34065543,-0.005269562,2.163997503,3.881699523,,132.3028179,,49.77018132,47.88971883,34.17477746,0.328115059,0.140025231,0
-1.184374092,0.24846463,0.344884427,-0.005033098,2.164145422,3.972351924,,151.3393797,,69.25178643,45.72809928,35.94710827,0.343749827,0.06863589,0
-1.214253365,0.244346095,0.34906585,-0.004799729,2.164208272,4.062969419,,170.7316469,,87.71711222,43.41925088,39.18142186,0.360785159,0.053076752,0
-1.243874307,0.240145798,0.353328552,-0.004569741,2.164270558,4.153412381,,183.5817589,,104.4397854,39.55373912,39.17839864,0.357817619,0.052018205,0
-1.273206104,0.235829894,0.35770368,-0.004343414,2.164329605,4.243244477,,196.7774942,,120.2504245,36.87320147,39.26098388,0.354296935,0.038587439,0
-1.302218627,0.231371956,0.362195062,-0.004121019,2.164362824,4.332221363,,210.2904212,,135.1916527,35.31814041,39.41283462,0.350348512,0.017444996,0
-1.3308825,0.226750615,0.366804586,-0.00390282,2.164350736,4.420046331,,224.1740362,,149.3051466,34.87581677,39.62026569,0.3460874,0.026719698,0
-1.359169158,0.221949285,0.371532324,-0.003689072,2.164276831,4.506387769,,238.4583187,,162.6290821,35.56462106,39.87175854,0.341616794,0.051240178,0
-1.387050917,0.216955893,0.376376654,-0.003480023,2.164127422,4.590652265,,253.1874848,,175.1960653,37.42020304,40.15752521,0.337026911,0.076664413,0
-1.414501036,0.211762608,0.381334393,-0.003275908,2.1638915,4.672752553,,268.4184078,,187.0314992,40.48340845,40.46912484,0.332394225,0.101981069,0
-1.441493781,0.206365572,0.386400917,-0.003076953,2.163560584,4.752426833,,284.1959831,,198.152347,44.79004216,40.79913002,0.327781041,0.126682843,0
-1.46800449,0.200764624,0.391570286,-0.002883373,2.163128582,4.829635836,,300.5434171,,208.5662651,50.36244938,41.1408403,0.323235391,0.150626915,0
-1.494009638,0.194963035,0.396835375,-0.002695372,2.162591643,4.904340292,,317.4547164,,218.2710898,57.20288013,41.48804066,0.318791216,0.173914516,0
-1.519486899,0.188967233,0.402187994,-0.00251314,2.16194801,4.976500929,,334.8893098,,227.2546711,65.28857851,41.83480264,0.314468803,0.196788752,0
-1.544415213,0.182786533,0.407619017,-0.002336857,2.161197877,5.04607848,,352.7687228,,235.4950548,74.56851626,42.17532642,0.310275457,0.219549798,0
-1.568774848,0.176432869,0.413118505,-0.002166687,2.160343241,5.113033674,,370.9752046,,242.961018,84.9616716,42.50382211,0.306206361,0.242486549,0
-1.592547467,0.169920515,0.418675834,-0.00200278,2.15938776,5.17732724,,389.3521955,,249.6129592,96.35673801,42.81442898,0.302245613,0.265823716,0
-1.615716187,0.163265826,0.424279819,-0.001845273,2.158336605,5.238919909,,407.7065029,,255.4041464,108.6131347,43.101171,0.298367392,0.289683335,0
-1.638265652,0.156486956,0.42991884,-0.001694286,2.157196316,5.297894585,,425.8120362,,260.2823113,121.5631806,43.35794756,0.294537244,0.314059548,0
-1.660182089,0.149603593,0.435580967,-0.001549924,2.155974653,5.354198906,,443.4149331,,264.1915716,135.0152849,43.57855769,0.290713459,0.338805494,0
-1.681453375,0.142636687,0.441254089,-0.001412277,2.154680457,5.407344182,,460.2398864,,267.0746452,148.7580053,43.75675624,0.286848518,0.363631062,0
-1.702069105,0.135608176,0.446926032,-0.001281414,2.1533235,5.457731837,,475.9974663,,268.8753071,162.5648186,43.88633973,0.282890598,0.388110222,0
-1.722020651,0.128540722,0.452584693,-0.00115739,2.15191434,5.505361873,,490.3922121,,269.5410202,176.1994505,43.96125961,0.278785102,0.411696634,0
-1.741301228,0.121457433,0.458218161,-0.001040239,2.150464177,5.550216835,,503.1312514,,269.0256582,189.421611,43.97575975,0.27447623,0.433746195,0
-1.75990596,0.114381594,0.463814843,-0.000929978,2.148984706,5.591877844,,513.9331927,,267.292222,201.9929823,43.92453464,0.26990854,0.453545212,0
-1.777831944,0.107336398,0.469363591,-0.000826603,2.147487973,5.630781233,,522.5370269,,264.3154408,213.6833108,43.80290386,0.265028511,0.470342869,0
-1.79507831,0.100344674,0.474853824,-0.000730091,2.145986229,5.666927002,,528.7107663,,260.0841416,224.276454,43.60699794,0.259786073,0.483386709,0
-1.811646293,0.093428615,0.48027566,-0.000640397,2.144491785,5.700297697,,532.2595491,,254.6032671,233.5762365,43.33394958,0.254136098,0.491959864,0
-1.82753929,0.086609509,0.485620035,-0.000557456,2.143016865,5.730491893,,533.0329406,,247.8954258,241.4119722,42.98208401,0.248039813,0.495418808,0
-1.842762928,0.079907466,0.490878831,-0.000481179,2.141573463,5.757928469,,530.9311693,,240.0018638,247.6435079,42.551101,0.241466121,0.493230418,0
-1.857325129,0.073341147,0.496045004,-0.000411457,2.140173196,5.782642331,,525.9100492,,230.9827624,252.1656461,42.04224066,0.234392798,0.48500717,0
-1.87123617,0.066927497,0.501112706,-0.000348154,2.138827158,5.804563666,,517.9843575,,220.916781,254.9118049,41.45842475,0.226807524,0.470539261,0
-1.884508753,0.060681467,0.506077413,-0.000291115,2.137545778,5.823325956,,507.2294555,,209.899789,255.8567709,40.80436438,0.218708722,0.449822442,0
-1.897158067,0.05461575,0.510936047,-0.000240156,2.136338669,5.839348078,,493.7809661,,198.0427516,255.0184031,40.08662494,0.210106165,0.423080282,0
-1.909201848,0.048740507,0.515687107,-0.000195071,2.135214488,5.852647487,,477.8323462,,185.4687617,252.4581447,39.313639,0.201021313,0.390779503,0
-1.920660451,0.043063095,0.520330791,-0.000155627,2.134180787,5.863189276,,459.6302203,,172.3092364,248.2802021,38.49565761,0.191487347,0.353636903,0
-1.931556909,0.037587797,0.524869122,-0.000121564,2.133243871,5.870572019,,439.4673682,,158.6993179,242.6292543,37.64463089,0.181548873,0.312616238,0
-1.941916998,0.032315551,0.529306073,-9.26E-05,2.132408647,5.875249501,,417.673285,,144.7725422,235.6865592,36.77400899,0.171261274,0.268913287,0
-1.951769305,0.027243682,0.533647695,-6.84E-05,2.131678486,5.877274083,,394.6022593,,130.6548529,227.6643346,35.89845492,0.160689688,0.223927154,0
-1.961145285,0.022365625,0.537902239,-4.87E-05,2.13105507,5.876925017,,370.6189315,,116.4580447,218.798302,35.03346148,0.149907625,0.179215675,0
-1.970079333,0.017670659,0.542080287,-3.30E-05,2.130538253,5.874254663,,346.0813138,,102.2727239,209.3382969,34.1948651,0.138995225,0.136432694,0
-1.978608844,0.013143633,0.546194869,-2.10E-05,2.130125912,5.870030967,,321.3212634,,88.16086008,199.5368713,33.39824998,0.128037189,0.097244867,0
-1.986774278,0.008764698,0.550261598,-1.22E-05,2.129813802,5.864568086,,296.6224041,,74.14798219,189.6358389,32.65823698,0.117120413,0.063225609,0
-1.994619226,0.004509034,0.55429879,-6.23E-06,2.12959541,5.858215088,,272.1954879,,60.2150361,179.8507446,31.98765187,0.1063314,0.035723911,0
-2.00219047,0.000346579,0.55832759,-2.54E-06,2.129461814,5.85128613,,248.1511745,,46.28986966,170.353277,31.39656839,0.095753517,0.015705907,0
-2.009538053,-0.003758242,0.562372099,-6.03E-07,2.12940153,5.844235,,224.4701845,,32.23824333,161.251688,30.89122155,0.085464178,0.003567452,0
-2.016715339,-0.007846786,0.5664595,1.22E-07,2.129400375,5.837201323,,200.9732022,,17.85417717,152.5693311,30.47278671,0.075532071,0.001375125,0
-2.023779081,-0.011966466,0.57062018,2.27E-07,2.129441314,5.830202553,,177.2731858,,2.849335739,144.2214917,30.1360192,0.066014542,0.000324683,0
-2.030725491,-0.016123753,0.574843789,2.27E-07,2.129511127,5.823256143,,183.7434324,,1.27376164,151.5959557,30.80825088,0.065288516,0.000175708,0
-2.037602089,-0.020352808,0.579158365,2.27E-07,2.129598393,5.816379545,,189.5138222,,1.260825988,156.7089193,31.4786544,0.065281554,0.000141048,0
-2.044461232,-0.024653997,0.58356602,2.27E-07,2.129703113,5.809520401,,195.2515296,,1.233482598,161.7675616,32.18501984,0.065292372,0.000173158,0
-2.051250563,-0.029028665,0.588071587,2.27E-07,2.12984274,5.802731071,,200.9065376,,2.617319021,165.2301433,32.99235322,0.065960841,0.00076121,0
-2.058004987,-0.033487632,0.592685889,2.27E-07,2.129999819,5.795976646,,208.1797388,,1.159346861,173.2527459,33.70207936,0.065269732,0.00029703,0
-2.064707052,-0.038020252,0.597400023,2.27E-07,2.130174352,5.789274582,,214.5672978,,1.102010273,178.987312,34.41237253,0.065231598,0.00037146,0
